frequency_Hz,tf
645000.0,(0.9995120414220013-0.02633335780958498j)
646000.0,(0.9995105284924436-0.026374157113796957j)
647000.0,(0.9995090132222826-0.02641495628976378j)
648000.0,(0.9995074956115338-0.026455755337287428j)
649000.0,(0.999505975660212-0.026496554256169848j)
650000.0,(0.9995044533683325-0.026537353046213j)
651000.0,(0.9995029287359096-0.02657815170721881j)
652000.0,(0.9995014017629589-0.026618950238989275j)
653000.0,(0.9994998724494949-0.026659748641326312j)
654000.0,(0.9994983407955331-0.026700546914031918j)
655000.0,(0.9994968068010883-0.026741345056908037j)
656000.0,(0.9994952704661753-0.02678214306975662j)
657000.0,(0.9994937317908098-0.02682294095237967j)
658000.0,(0.9994921907750065-0.026863738704579126j)
659000.0,(0.9994906474187802-0.026904536326156945j)
660000.0,(0.9994891017221468-0.026945333816915138j)
661000.0,(0.9994875536851212-0.026986131176655676j)
662000.0,(0.9994860033077183-0.027026928405180516j)
663000.0,(0.9994844505899538-0.027067725502291654j)
664000.0,(0.9994828955318427-0.027108522467791066j)
665000.0,(0.9994813381334002-0.02714931930148074j)
666000.0,(0.9994797783946419-0.027190116003162658j)
667000.0,(0.9994782163155829-0.027230912572638814j)
668000.0,(0.9994766518962386-0.027271709009711192j)
669000.0,(0.9994750851366242-0.027312505314181796j)
670000.0,(0.9994735160367554-0.02735330148585262j)
671000.0,(0.9994719445966475-0.02739409752452565j)
672000.0,(0.9994703708163156-0.02743489343000289j)
673000.0,(0.9994687946957754-0.027475689202086352j)
674000.0,(0.9994672162350431-0.027516484840578063j)
675000.0,(0.9994656354341327-0.027557280345279957j)
676000.0,(0.999464052293061-0.02759807571599412j)
677000.0,(0.9994624668118429-0.027638870952522526j)
678000.0,(0.9994608789904944-0.027679666054667196j)
679000.0,(0.9994592888290307-0.02772046102223013j)
680000.0,(0.9994576963274677-0.027761255855013385j)
681000.0,(0.9994561014858208-0.027802050552818945j)
682000.0,(0.9994545043041059-0.027842845115448843j)
683000.0,(0.9994529047823388-0.027883639542705136j)
684000.0,(0.9994513029205349-0.02792443383438981j)
685000.0,(0.9994496987187096-0.02796522799030489j)
686000.0,(0.9994480921768796-0.028006022010252447j)
687000.0,(0.9994464832950599-0.02804681589403449j)
688000.0,(0.9994448720732668-0.028087609641453067j)
689000.0,(0.9994432585115158-0.028128403252310207j)
690000.0,(0.9994416426098228-0.02816919672640796j)
691000.0,(0.9994400243682038-0.02820999006354835j)
692000.0,(0.9994384037866744-0.02825078326353344j)
693000.0,(0.9994367808652509-0.028291576326165295j)
694000.0,(0.999435155603949-0.028332369251245933j)
695000.0,(0.999433528002785-0.028373162038577437j)
696000.0,(0.9994318980617741-0.02841395468796181j)
697000.0,(0.9994302657809333-0.028454747199201186j)
698000.0,(0.9994286311602782-0.028495539572097585j)
699000.0,(0.9994269941998245-0.02853633180645305j)
700000.0,(0.9994253548995888-0.02857712390206966j)
701000.0,(0.9994237132595869-0.028617915858749496j)
702000.0,(0.9994220692798352-0.028658707676294633j)
703000.0,(0.9994204229603494-0.02869949935450711j)
704000.0,(0.9994187743011458-0.028740290893189017j)
705000.0,(0.9994171233022411-0.028781082292142435j)
706000.0,(0.999415469963651-0.02882187355116946j)
707000.0,(0.9994138142853921-0.02886266467007215j)
708000.0,(0.9994121562674801-0.028903455648652578j)
709000.0,(0.9994104959099318-0.02894424648671285j)
710000.0,(0.9994088332127633-0.028985037184055044j)
711000.0,(0.999407168175991-0.02902582774048126j)
712000.0,(0.999405500799631-0.02906661815579359j)
713000.0,(0.9994038310837003-0.029107408429794125j)
714000.0,(0.9994021590282145-0.02914819856228495j)
715000.0,(0.9994004846331906-0.029188988553068198j)
716000.0,(0.9993988078986448-0.02922977840194594j)
717000.0,(0.9993971288245938-0.02927056810872031j)
718000.0,(0.9993954474110537-0.029311357673193376j)
719000.0,(0.9993937636580412-0.02935214709516729j)
720000.0,(0.999392077565573-0.02939293637444413j)
721000.0,(0.9993903891336656-0.02943372551082605j)
722000.0,(0.9993886983623352-0.02947451450411511j)
723000.0,(0.999387005251599-0.029515303354113485j)
724000.0,(0.9993853098014732-0.02955609206062327j)
725000.0,(0.9993836120119747-0.0295968806234466j)
726000.0,(0.99938191188312-0.029637669042385583j)
727000.0,(0.9993802094149258-0.029678457317242366j)
728000.0,(0.999378504607409-0.029719245447819075j)
729000.0,(0.9993767974605859-0.029760033433917848j)
730000.0,(0.9993750879744739-0.029800821275340818j)
731000.0,(0.9993733761490894-0.029841608971890126j)
732000.0,(0.9993716619844494-0.029882396523367914j)
733000.0,(0.9993699454805702-0.029923183929576304j)
734000.0,(0.9993682266374696-0.029963971190317493j)
735000.0,(0.9993665054551637-0.030004758305393585j)
736000.0,(0.9993647819336695-0.03004554527460673j)
737000.0,(0.9993630560730046-0.030086332097759128j)
738000.0,(0.999361327873185-0.030127118774652874j)
739000.0,(0.999359597334228-0.03016790530509017j)
740000.0,(0.9993578644561509-0.030208691688873173j)
741000.0,(0.9993561292389708-0.03024947792580403j)
742000.0,(0.9993543916827039-0.030290264015684912j)
743000.0,(0.9993526517873682-0.030331049958317997j)
744000.0,(0.9993509095529801-0.030371835753505435j)
745000.0,(0.9993491649795572-0.030412621401049434j)
746000.0,(0.9993474180671166-0.030453406900752152j)
747000.0,(0.9993456688156751-0.03049419225241575j)
748000.0,(0.99934391722525-0.030534977455842428j)
749000.0,(0.9993421632958587-0.030575762510834378j)
750000.0,(0.999340407027518-0.030616547417193763j)
751000.0,(0.9993386484202461-0.030657332174722808j)
752000.0,(0.9993368874740589-0.030698116783223647j)
753000.0,(0.999335124188975-0.03073890124249854j)
754000.0,(0.9993333585650109-0.030779685552349632j)
755000.0,(0.999331590602184-0.030820469712579138j)
756000.0,(0.999329820300512-0.03086125372298926j)
757000.0,(0.999328047660012-0.03090203758338222j)
758000.0,(0.9993262726807015-0.030942821293560185j)
759000.0,(0.9993244953625978-0.03098360485332539j)
760000.0,(0.9993227157057187-0.031024388262480055j)
761000.0,(0.9993209337100815-0.031065171520826378j)
762000.0,(0.9993191493757038-0.031105954628166586j)
763000.0,(0.9993173627026025-0.031146737584302874j)
764000.0,(0.999315573690796-0.0311875203890375j)
765000.0,(0.9993137823403015-0.031228303042172657j)
766000.0,(0.9993119886511365-0.03126908554351059j)
767000.0,(0.9993101926233187-0.031309867892853525j)
768000.0,(0.9993083942568657-0.03135065009000368j)
769000.0,(0.9993065935517953-0.03139143213476333j)
770000.0,(0.9993047905081249-0.03143221402693466j)
771000.0,(0.9993029851258725-0.03147299576631993j)
772000.0,(0.9993011774050558-0.0315137773527214j)
773000.0,(0.9992993673456922-0.03155455878594129j)
774000.0,(0.9992975549477999-0.03159534006578186j)
775000.0,(0.9992957402113963-0.03163612119204535j)
776000.0,(0.9992939231365-0.03167690216453404j)
777000.0,(0.9992921037231276-0.03171768298305014j)
778000.0,(0.9992902819712981-0.03175846364739596j)
779000.0,(0.9992884578810286-0.03179924415737371j)
780000.0,(0.9992866314523378-0.0318400245127857j)
781000.0,(0.9992848026852427-0.03188080471343416j)
782000.0,(0.9992829715797621-0.03192158475912138j)
783000.0,(0.9992811381359133-0.0319623646496496j)
784000.0,(0.9992793023537149-0.03200314438482114j)
785000.0,(0.9992774642331846-0.03204392396443824j)
786000.0,(0.9992756237743404-0.0320847033883032j)
787000.0,(0.9992737809772002-0.03212548265621827j)
788000.0,(0.9992719358417829-0.032166261767985774j)
789000.0,(0.9992700883681055-0.032207040723407965j)
790000.0,(0.9992682385561872-0.032247819522287176j)
791000.0,(0.9992663864060456-0.032288598164425655j)
792000.0,(0.9992645319176986-0.03232937664962571j)
793000.0,(0.9992626750911648-0.03237015497768964j)
794000.0,(0.9992608159264628-0.032410933148419765j)
795000.0,(0.9992589544236099-0.03245171116161834j)
796000.0,(0.9992570905826254-0.032492489017087726j)
797000.0,(0.9992552244035267-0.03253326671463018j)
798000.0,(0.9992533558863329-0.03257404425404806j)
799000.0,(0.9992514850310618-0.03261482163514363j)
800000.0,(0.9992496118377318-0.032655598857719244j)
801000.0,(0.9992477363063617-0.03269637592157722j)
802000.0,(0.9992458584369698-0.03273715282651986j)
803000.0,(0.999243978229574-0.032777929572349485j)
804000.0,(0.9992420956841934-0.03281870615886845j)
805000.0,(0.9992402108008461-0.03285948258587906j)
806000.0,(0.9992383235795509-0.03290025885318365j)
807000.0,(0.9992364340203261-0.032941034960584564j)
808000.0,(0.9992345421231903-0.03298181090788413j)
809000.0,(0.9992326478881621-0.03302258669488471j)
810000.0,(0.9992307513152603-0.03306336232138864j)
811000.0,(0.9992288524045028-0.03310413778719821j)
812000.0,(0.9992269511559091-0.03314491309211585j)
813000.0,(0.9992250475694974-0.03318568823594385j)
814000.0,(0.9992231416452867-0.03322646321848462j)
815000.0,(0.9992212333832954-0.03326723803954047j)
816000.0,(0.9992193227835422-0.033308012698913765j)
817000.0,(0.9992174098460461-0.0333487871964069j)
818000.0,(0.9992154945708257-0.03338956153182218j)
819000.0,(0.9992135769579001-0.033430335704962046j)
820000.0,(0.9992116570072879-0.033471109715628826j)
821000.0,(0.9992097347190079-0.03351188356362488j)
822000.0,(0.9992078100930789-0.03355265724875261j)
823000.0,(0.99920588312952-0.033593430770814385j)
824000.0,(0.99920395382835-0.0336342041296126j)
825000.0,(0.9992020221895878-0.03367497732494962j)
826000.0,(0.9992000882132527-0.033715750356627834j)
827000.0,(0.9991981518993632-0.03375652322444965j)
828000.0,(0.9991962132479387-0.03379729592821744j)
829000.0,(0.9991942722589979-0.03383806846773361j)
830000.0,(0.9991923289325603-0.03387884084280055j)
831000.0,(0.9991903832686446-0.033919613053220665j)
832000.0,(0.9991884352672699-0.03396038509879636j)
833000.0,(0.9991864849284556-0.03400115697933005j)
834000.0,(0.9991845322522205-0.03404192869462412j)
835000.0,(0.9991825772385836-0.034082700244480985j)
836000.0,(0.9991806198875649-0.03412347162870309j)
837000.0,(0.9991786601991831-0.034164242847092824j)
838000.0,(0.9991766981734577-0.03420501389945264j)
839000.0,(0.9991747338104071-0.0342457847855849j)
840000.0,(0.9991727671100518-0.03428655550529208j)
841000.0,(0.9991707980724099-0.03432732605837659j)
842000.0,(0.9991688266975017-0.034368096444640873j)
843000.0,(0.9991668529853465-0.03440886666388736j)
844000.0,(0.9991648769359629-0.034449636715918476j)
845000.0,(0.999162898549371-0.034490406600536684j)
846000.0,(0.9991609178255901-0.03453117631754442j)
847000.0,(0.9991589347646394-0.0345719458667441j)
848000.0,(0.9991569493665386-0.034612715247938214j)
849000.0,(0.9991549616313068-0.03465348446092917j)
850000.0,(0.9991529715589639-0.034694253505519454j)
851000.0,(0.9991509791495297-0.034735022381511535j)
852000.0,(0.9991489844030229-0.03477579108870784j)
853000.0,(0.9991469873194637-0.03481655962691085j)
854000.0,(0.9991449878988716-0.03485732799592301j)
855000.0,(0.9991429861412666-0.03489809619554683j)
856000.0,(0.9991409820466676-0.03493886422558475j)
857000.0,(0.9991389756150943-0.034979632085839235j)
858000.0,(0.9991369668465673-0.035020399776112786j)
859000.0,(0.9991349557411053-0.035061167296207875j)
860000.0,(0.9991329422987286-0.03510193464592697j)
861000.0,(0.999130926519457-0.03514270182507259j)
862000.0,(0.9991289084033096-0.03518346883344718j)
863000.0,(0.9991268879503075-0.03522423567085329j)
864000.0,(0.9991248651604692-0.03526500233709336j)
865000.0,(0.9991228400338155-0.03530576883196992j)
866000.0,(0.9991208125703654-0.035346535155285436j)
867000.0,(0.9991187827701394-0.035387301306842436j)
868000.0,(0.9991167506331577-0.03542806728644344j)
869000.0,(0.9991147161594395-0.035468833093890914j)
870000.0,(0.9991126793490054-0.03550959872898742j)
871000.0,(0.9991106402018747-0.03555036419153542j)
872000.0,(0.9991085987180681-0.03559112948133748j)
873000.0,(0.9991065548976051-0.03563189459819609j)
874000.0,(0.9991045087405064-0.03567265954191379j)
875000.0,(0.9991024602467916-0.03571342431229311j)
876000.0,(0.9991004094164809-0.03575418890913655j)
877000.0,(0.9990983562495941-0.035794953332246644j)
878000.0,(0.9990963007461521-0.035835717581425966j)
879000.0,(0.9990942429061742-0.03587648165647702j)
880000.0,(0.9990921827296816-0.03591724555720238j)
881000.0,(0.999090120216694-0.03595800928340458j)
882000.0,(0.9990880553672312-0.03599877283488611j)
883000.0,(0.9990859881813141-0.0360395362114496j)
884000.0,(0.9990839186589624-0.03608029941289754j)
885000.0,(0.9990818468001972-0.03612106243903255j)
886000.0,(0.9990797726050383-0.03616182528965713j)
887000.0,(0.9990776960735063-0.036202587964573874j)
888000.0,(0.9990756172056212-0.03624335046358534j)
889000.0,(0.9990735360014038-0.03628411278649408j)
890000.0,(0.9990714524608744-0.0363248749331027j)
891000.0,(0.9990693665840533-0.036365636903213726j)
892000.0,(0.9990672783709612-0.03640639869662978j)
893000.0,(0.9990651878216187-0.03644716031315342j)
894000.0,(0.9990630949360456-0.03648792175258722j)
895000.0,(0.9990609997142634-0.03652868301473378j)
896000.0,(0.9990589021562919-0.03656944409939569j)
897000.0,(0.9990568022621522-0.03661020500637554j)
898000.0,(0.9990547000318648-0.036650965735475924j)
899000.0,(0.9990525954654499-0.03669172628649943j)
900000.0,(0.9990504885629288-0.03673248665924867j)
901000.0,(0.9990483793243214-0.03677324685352623j)
902000.0,(0.9990462677496491-0.03681400686913474j)
903000.0,(0.9990441538389323-0.036854766705876785j)
904000.0,(0.9990420375921921-0.03689552636355501j)
905000.0,(0.9990399190094489-0.036936285841972026j)
906000.0,(0.9990377980907235-0.03697704514093042j)
907000.0,(0.9990356748360366-0.03701780426023283j)
908000.0,(0.9990335492454095-0.037058563199681885j)
909000.0,(0.9990314213188626-0.03709932195908021j)
910000.0,(0.999029291056417-0.037140080538230445j)
911000.0,(0.999027158458094-0.03718083893693523j)
912000.0,(0.9990250235239134-0.037221597154997156j)
913000.0,(0.9990228862538973-0.03726235519221892j)
914000.0,(0.9990207466480662-0.037303113048403135j)
915000.0,(0.9990186047064411-0.03734387072335244j)
916000.0,(0.9990164604290427-0.037384628216869505j)
917000.0,(0.9990143138158929-0.037425385528756995j)
918000.0,(0.9990121648670119-0.03746614265881752j)
919000.0,(0.9990100135824211-0.03750689960685377j)
920000.0,(0.9990078599621417-0.03754765637266839j)
921000.0,(0.9990057040061949-0.03758841295606408j)
922000.0,(0.9990035457146017-0.037629169356843455j)
923000.0,(0.9990013850873832-0.03766992557480924j)
924000.0,(0.9989992221245605-0.037710681609764055j)
925000.0,(0.9989970568261555-0.03775143746151062j)
926000.0,(0.9989948891921886-0.03779219312985159j)
927000.0,(0.9989927192226816-0.03783294861458966j)
928000.0,(0.9989905469176557-0.03787370391552753j)
929000.0,(0.9989883722771321-0.03791445903246786j)
930000.0,(0.998986195301132-0.037955213965213334j)
931000.0,(0.9989840159896771-0.0379959687135667j)
932000.0,(0.9989818343427886-0.03803672327733062j)
933000.0,(0.998979650360488-0.038077477656307784j)
934000.0,(0.9989774640427966-0.038118231850300936j)
935000.0,(0.9989752753897357-0.03815898585911273j)
936000.0,(0.9989730844013276-0.03819973968254597j)
937000.0,(0.9989708910775927-0.03824049332040326j)
938000.0,(0.998968695418553-0.03828124677248737j)
939000.0,(0.9989664974242302-0.03832200003860103j)
940000.0,(0.9989642970946457-0.038362753118546956j)
941000.0,(0.9989620944298212-0.03840350601212788j)
942000.0,(0.9989598894297779-0.03844425871914649j)
943000.0,(0.9989576820945382-0.03848501123940559j)
944000.0,(0.998955472424123-0.03852576357270786j)
945000.0,(0.9989532604185544-0.038566515718856054j)
946000.0,(0.9989510460778539-0.03860726767765294j)
947000.0,(0.9989488294020434-0.03864801944890122j)
948000.0,(0.9989466103911445-0.03868877103240368j)
949000.0,(0.9989443890451791-0.038729522427963056j)
950000.0,(0.998942165364169-0.038770273635382116j)
951000.0,(0.9989399393481356-0.03881102465446357j)
952000.0,(0.9989377109971015-0.03885177548501026j)
953000.0,(0.9989354803110883-0.03889252612682491j)
954000.0,(0.9989332472901173-0.03893327657971027j)
955000.0,(0.9989310119342109-0.03897402684346913j)
956000.0,(0.9989287742433909-0.039014776917904254j)
957000.0,(0.9989265342176795-0.039055526802818444j)
958000.0,(0.9989242918570984-0.03909627649801447j)
959000.0,(0.9989220471616701-0.03913702600329511j)
960000.0,(0.9989198001314157-0.03917777531846315j)
961000.0,(0.998917550766358-0.03921852444332138j)
962000.0,(0.9989152990665187-0.03925927337767259j)
963000.0,(0.9989130450319201-0.039300022121319604j)
964000.0,(0.9989107886625845-0.03934077067406522j)
965000.0,(0.9989085299585334-0.03938151903571217j)
966000.0,(0.9989062689197894-0.03942226720606336j)
967000.0,(0.9989040055463746-0.03946301518492153j)
968000.0,(0.9989017398383114-0.03950376297208954j)
969000.0,(0.9988994717956219-0.03954451056737017j)
970000.0,(0.9988972014183279-0.03958525797056626j)
971000.0,(0.9988949287064525-0.03962600518148062j)
972000.0,(0.9988926536600173-0.0396667521999161j)
973000.0,(0.9988903762790449-0.03970749902567549j)
974000.0,(0.9988880965635577-0.03974824565856167j)
975000.0,(0.9988858145135778-0.03978899209837743j)
976000.0,(0.998883530129128-0.03982973834492565j)
977000.0,(0.9988812434102305-0.03987048439800915j)
978000.0,(0.9988789543569075-0.03991123025743077j)
979000.0,(0.9988766629691818-0.03995197592299336j)
980000.0,(0.9988743692470758-0.039992721394499796j)
981000.0,(0.998872073190612-0.04003346667175293j)
982000.0,(0.9988697747998125-0.04007421175455558j)
983000.0,(0.9988674740747006-0.04011495664271065j)
984000.0,(0.9988651710152983-0.040155701336020984j)
985000.0,(0.9988628656216284-0.040196445834289475j)
986000.0,(0.9988605578937136-0.040237190137318975j)
987000.0,(0.9988582478315761-0.04027793424491235j)
988000.0,(0.9988559354352394-0.040318678156872505j)
989000.0,(0.9988536207047253-0.0403594218730023j)
990000.0,(0.9988513036400571-0.04040016539310464j)
991000.0,(0.9988489842412571-0.040440908716982395j)
992000.0,(0.9988466625083481-0.04048165184443846j)
993000.0,(0.9988443384413532-0.040522394775275736j)
994000.0,(0.9988420120402953-0.04056313750929712j)
995000.0,(0.9988396833051968-0.04060388004630551j)
996000.0,(0.9988373522360805-0.04064462238610382j)
997000.0,(0.9988350188329697-0.040685364528494965j)
998000.0,(0.9988326830958867-0.04072610647328182j)
999000.0,(0.9988303450248549-0.040766848220267354j)
1000000.0,(0.9988280046198972-0.040807589769254436j)
1001000.0,(0.9988256618810364-0.04084833112004602j)
1002000.0,(0.9988233168082955-0.040889072272445016j)
1003000.0,(0.9988209694016973-0.04092981322625434j)
1004000.0,(0.9988186196612655-0.04097055398127696j)
1005000.0,(0.9988162675870222-0.041011294537315786j)
1006000.0,(0.9988139131789912-0.04105203489417376j)
1007000.0,(0.9988115564371953-0.041092775051653825j)
1008000.0,(0.9988091973616579-0.04113351500955893j)
1009000.0,(0.9988068359524014-0.04117425476769201j)
1010000.0,(0.9988044722094499-0.04121499432585604j)
1011000.0,(0.9988021061328262-0.041255733683853976j)
1012000.0,(0.9987997377225531-0.04129647284148874j)
1013000.0,(0.9987973669786545-0.04133721179856333j)
1014000.0,(0.9987949939011532-0.0413779505548807j)
1015000.0,(0.9987926184900727-0.04141868911024383j)
1016000.0,(0.9987902407454358-0.04145942746445564j)
1017000.0,(0.9987878606672668-0.0415001656173192j)
1018000.0,(0.998785478255588-0.04154090356863741j)
1019000.0,(0.9987830935104234-0.04158164131821328j)
1020000.0,(0.9987807064317966-0.04162237886584982j)
1021000.0,(0.9987783170197304-0.04166311621134996j)
1022000.0,(0.9987759252742483-0.041703853354516734j)
1023000.0,(0.9987735311953739-0.04174459029515314j)
1024000.0,(0.9987711347831308-0.04178532703306217j)
1025000.0,(0.9987687360375426-0.04182606356804683j)
1026000.0,(0.9987663349586322-0.04186679989991011j)
1027000.0,(0.9987639315464242-0.041907536028455046j)
1028000.0,(0.9987615258009411-0.04194827195348463j)
1029000.0,(0.998759117722207-0.0419890076748019j)
1030000.0,(0.9987567073102456-0.04202974319220985j)
1031000.0,(0.99875429456508-0.04207047850551151j)
1032000.0,(0.9987518794867348-0.042111213614509944j)
1033000.0,(0.9987494620752329-0.042151948519008144j)
1034000.0,(0.9987470423305982-0.04219268321880913j)
1035000.0,(0.9987446202528548-0.042233417713716j)
1036000.0,(0.9987421958420257-0.042274152003531726j)
1037000.0,(0.9987397690981353-0.0423148860880594j)
